# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	283	2694	+	LLPFDG_00005		Membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family	SO:0001217, UniRef:UniRef50_A0A8F8B872
contig_1	cds	2826	4946	+	LLPFDG_00010		TonB-dependent receptor	SO:0001217, UniRef:UniRef50_Q9I1I6
contig_1	cds	5067	5354	+	LLPFDG_00015		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A2R3IUE5
contig_1	cds	5367	6002	-	LLPFDG_00020		DUF2244 domain-containing protein	SO:0001217, UniRef:UniRef50_A6V5H9
contig_1	cds	5989	7533	-	LLPFDG_00025		Peptidase-M48 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3M5EMD3
contig_1	cds	7534	8196	-	LLPFDG_00030		Conserved membrane protein	SO:0001217, UniRef:UniRef50_A0A5E8UMB4
contig_1	cds	8193	8864	-	LLPFDG_00035		hypothetical protein	
contig_1	cds	8861	10318	-	LLPFDG_00040		Peptidase-M48 domain-containing protein	SO:0001217, UniRef:UniRef50_A6V5I3
contig_1	cds	10325	10753	-	LLPFDG_00045	ybjN	YbjN domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0D6BGY9
contig_1	cds	10951	11895	+	LLPFDG_00050		hypothetical protein	PFAM:PF00165.26, PFAM:PF12833.10
contig_1	cds	11908	12600	-	LLPFDG_00055		NADPH azoreductase	SO:0001217, UniRef:UniRef50_A0A0N0GN54
contig_1	cds	12612	13082	-	LLPFDG_00060		protein-tyrosine-phosphatase	SO:0001217, UniRef:UniRef50_O68022
contig_1	cds	13114	14397	-	LLPFDG_00065		Arsenical pump membrane protein	SO:0001217, UniRef:UniRef50_A0A377Z4B9
contig_1	cds	14411	14761	-	LLPFDG_00070		Arsenate reductase	SO:0001217, UniRef:UniRef50_D0I9T5
contig_1	cds	14840	15730	-	LLPFDG_00075	araC	AraC family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A2U2XL91
contig_1	cds	15939	17000	+	LLPFDG_00080		Alcohol dehydrogenase	SO:0001217, UniRef:UniRef50_A0A085AK01
contig_1	cds	17025	17402	-	LLPFDG_00085	pumA	monooxygenase PumA	BlastRules:WP_003089304, SO:0001217, UniRef:UniRef50_A0A485EI48
contig_1	cds	17480	17950	+	LLPFDG_00090	soxR	Redox-sensitive transcriptional activator SoxR	SO:0001217, UniRef:UniRef50_A0A7T4R2K4
contig_1	cds	17958	19655	-	LLPFDG_00095	pbpC	putative peptidoglycan D,D-transpeptidase PbpC	SO:0001217, UniRef:UniRef50_Q9I1K1
contig_1	cds	19777	20292	-	LLPFDG_00100		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A807AXN2
