# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_6	tRNA	157	246	+	MDNEJI_00001	90.4	-	-	-	-	-
contig_22	cds	44	316	+	MDNEJI_00002	-	-	-	-	-	-
contig_24	cds	112	336	+	MDNEJI_00003	-	-	-	-	-	-
contig_26	cds	14	265	-	MDNEJI_00004	-	-	-	-	-	-
contig_33	cds	80	601	-	MDNEJI_00005	-	-	-	-	-	-
contig_41	ncRNA	21	128	-	MDNEJI_00006	67.5	3.8e-10	-	-	-	RFAM:RF02755
contig_55	cds	91	573	+	MDNEJI_00007	-	-	-	-	-	-
contig_56	cds	1	327	+	MDNEJI_00008	-	-	-	-	-	-
contig_60	cds	41	328	-	MDNEJI_00009	-	-	-	-	-	-
contig_62	cds	25	309	+	MDNEJI_00010	-	-	-	-	-	-
contig_77	cds	18	638	-	MDNEJI_00011	394.0	1.1e-139	1.0	0.932	0.985	UniRef:UniRef50_A0A379T7F3
contig_82	cds	55	288	+	MDNEJI_00012	-	-	-	-	-	-
contig_84	cds	15	257	-	MDNEJI_00013	-	-	-	-	-	-
contig_85	cds	3	275	-	MDNEJI_00014	-	-	-	-	-	-
contig_89	cds	97	318	-	MDNEJI_00015	-	-	-	-	-	-
contig_99	cds	60	359	+	MDNEJI_00016	98.6	2.4e-26	0.960	0.872	0.547	UniRef:UniRef50_A0A0C5EL99
contig_110	cds	30	530	+	MDNEJI_00017	-	-	-	-	-	-
contig_111	cds	279	1439	-	MDNEJI_00018	546.0	7.9e-194	0.969	0.919	0.746	UniRef:UniRef50_A0A1Q9QVI2
contig_111	cds	1472	2317	-	MDNEJI_00019	350.0	8.4e-120	0.986	0.885	0.635	UniRef:UniRef50_A0AAJ5T3R6
contig_111	cds	2310	3242	-	MDNEJI_00020	377.0	2.6e-129	0.974	0.846	0.609	UniRef:UniRef50_A0AAJ5T3H9
contig_111	cds	3343	4605	-	MDNEJI_00021	814.0	1.7e-298	0.979	0.909	1.0	UniRef:UniRef50_A0A0G3BGA5
contig_111	cds	5130	6578	-	MDNEJI_00022	686.0	8.2e-246	0.990	0.919	0.744	UniRef:UniRef50_Q9HZ47
contig_111	cds	6575	7303	-	MDNEJI_00023	424.0	9.7e-151	0.992	0.984	0.879	UniRef:UniRef50_A0A6G6ITX2
contig_111	cds	7338	8333	-	MDNEJI_00024	648.0	6.1e-236	1.0	0.930	0.997	UniRef:UniRef50_Q9HZ46
contig_111	cds	8436	10262	-	MDNEJI_00025	762.0	3.5e-272	0.982	0.958	0.633	UniRef:UniRef50_P31961
contig_111	cds	10392	11396	+	MDNEJI_00026	515.0	9.0e-183	0.985	0.818	0.772	UniRef:UniRef50_P27726
contig_111	cds	11403	11615	-	MDNEJI_00027	140.0	6.9e-44	1.0	0.933	0.971	UniRef:UniRef50_A0A024HEV2
contig_111	cds	11700	12230	-	MDNEJI_00028	253.0	4.0e-85	0.955	0.903	0.768	UniRef:UniRef50_A4XQ31
contig_111	cds	12311	13309	-	MDNEJI_00029	-	-	-	-	-	-
contig_111	cds	13455	14345	-	MDNEJI_00030	340.0	8.2e-115	1.007	0.810	0.671	UniRef:UniRef50_Q1N5L9
contig_111	cds	14380	15009	-	MDNEJI_00031	270.0	2.5e-90	0.981	0.820	0.615	UniRef:UniRef50_A0A161HVR8
contig_111	cds	15006	15893	-	MDNEJI_00032	455.0	4.9e-161	0.942	0.880	0.781	UniRef:UniRef50_A0A109KS37
contig_111	cds	16109	16696	+	MDNEJI_00033	292.0	6.7e-100	1.0	0.907	0.692	UniRef:UniRef50_Q9HZ39
contig_111	cds	16698	16997	+	MDNEJI_00034	141.0	3.3e-43	1.0	0.811	0.727	UniRef:UniRef50_Q6LP86
contig_111	cds	17176	17541	+	MDNEJI_00035	-	-	-	-	-	-
contig_111	cds	17552	18229	+	MDNEJI_00036	236.0	1.4e-76	0.987	0.857	0.554	UniRef:UniRef50_A0A2K8L5D2
contig_111	cds	18358	18798	+	MDNEJI_00037	-	-	-	-	-	-
contig_111	cds	18913	20250	+	MDNEJI_00038	571.0	2.2e-201	0.984	0.869	0.678	UniRef:UniRef50_Q9HZ34
contig_111	cds	20294	20770	+	MDNEJI_00039	-	-	-	-	-	-
contig_111	cds	20751	21311	-	MDNEJI_00040	199.0	2.8e-63	1.016	0.931	0.550	UniRef:UniRef50_W9VAH4
contig_111	cds	21376	21747	-	MDNEJI_00041	153.0	2.0e-47	0.911	0.868	0.625	UniRef:UniRef50_A0A1H2NAT3
contig_111	cds	21905	23359	+	MDNEJI_00042	687.0	9.8e-246	1.0	0.895	0.696	UniRef:UniRef50_A0A0B7D8C0
contig_111	cds	23426	24571	+	MDNEJI_00043	388.0	8.3e-132	0.953	0.890	0.592	UniRef:UniRef50_A0AAJ5N7Z0
contig_111	cds	24568	25362	+	MDNEJI_00044	283.0	4.6e-94	0.985	0.875	0.577	UniRef:UniRef50_K8PDE3
contig_111	cds	25364	26302	+	MDNEJI_00045	337.0	6.5e-114	1.0	0.981	0.561	UniRef:UniRef50_Q9HZ27
contig_111	cds	26299	26931	+	MDNEJI_00046	377.0	1.1e-132	1.019	0.911	0.944	UniRef:UniRef50_S6BKM3
contig_111	cds	26954	27949	-	MDNEJI_00047	642.0	2.5e-233	1.0	0.880	0.982	UniRef:UniRef50_A0A7U7IC25
contig_111	cds	28110	28427	+	MDNEJI_00048	129.0	4.1e-38	0.924	0.808	0.629	UniRef:UniRef50_A0A1N7K8S7
contig_111	cds	28697	30037	+	MDNEJI_00049	688.0	1.2e-247	1.0	0.892	0.798	UniRef:UniRef50_Q9HZ23
contig_111	cds	30027	31082	-	MDNEJI_00050	460.0	2.1e-161	0.937	0.916	0.699	UniRef:UniRef50_A0A061CUV5
contig_111	cds	31079	31891	-	MDNEJI_00051	335.0	2.8e-114	0.907	0.851	0.633	UniRef:UniRef50_A0A6J5LG18
contig_111	cds	32038	32802	+	MDNEJI_00052	306.0	4.5e-103	0.976	0.816	0.637	UniRef:UniRef50_Q4KGC3
contig_111	cds	32867	33202	+	MDNEJI_00053	131.0	5.8e-39	0.991	0.859	0.600	UniRef:UniRef50_A0A024HKK1
contig_111	cds	33212	34105	+	MDNEJI_00054	301.0	3.8e-100	0.943	0.841	0.611	UniRef:UniRef50_Q1I6V7
contig_111	cds	34185	35138	-	MDNEJI_00055	550.0	1.9e-197	0.991	0.877	0.847	UniRef:UniRef50_A0A0H2ZDG9
contig_111	cds	35240	35794	+	MDNEJI_00056	354.0	1.0e-124	1.0	0.880	0.995	UniRef:UniRef50_A0A0H2ZDT7
contig_111	cds	35870	36487	+	MDNEJI_00057	258.0	2.6e-86	0.971	0.961	0.653	UniRef:UniRef50_A0A430HF85
contig_111	cds	36945	37472	+	MDNEJI_00058	-	-	-	-	-	-
contig_111	cds	37584	37970	+	MDNEJI_00059	176.0	4.1e-56	1.0	0.889	0.672	UniRef:UniRef50_A0A916IDX5
contig_111	cds	38055	38798	+	MDNEJI_00060	369.0	1.0e-128	0.980	0.953	0.727	UniRef:UniRef50_A0A087L584
contig_111	cds	39053	39694	-	MDNEJI_00061	283.0	1.4e-95	0.934	0.869	0.698	UniRef:UniRef50_Q9HZ17
contig_111	cds	39841	40158	-	MDNEJI_00062	124.0	2.3e-36	0.962	0.886	0.574	UniRef:UniRef50_Q9HZ16
contig_111	cds	40358	41287	+	MDNEJI_00063	482.0	1.3e-170	0.987	0.845	0.790	UniRef:UniRef50_A0A423P109
contig_111	cds	41294	42121	+	MDNEJI_00064	298.0	8.2e-100	0.956	0.956	0.570	UniRef:UniRef50_A0A8S0GX04
contig_111	cds	42103	42666	+	MDNEJI_00065	223.0	7.4e-73	1.011	0.892	0.619	UniRef:UniRef50_P0AFL3
contig_111	cds	42729	44561	+	MDNEJI_00066	848.0	2.2e-305	1.080	0.992	0.675	UniRef:UniRef50_A0A0U5KZ58
contig_111	cds	44843	45109	+	MDNEJI_00067	118.0	1.3e-34	0.989	0.926	0.621	UniRef:UniRef50_A0A024HK47
contig_111	cds	45142	46266	-	MDNEJI_00068	481.0	2.2e-168	1.128	0.995	0.590	UniRef:UniRef50_A0A0Q0AC34
contig_111	cds	46542	46700	-	MDNEJI_00069	61.6	4.3e-13	0.942	0.803	0.551	UniRef:UniRef50_Q9HZ09
contig_111	cds	46809	47435	-	MDNEJI_00070	413.0	1.8e-147	1.0	1.0	0.986	UniRef:UniRef50_N2JCC3
contig_111	cds	47432	49231	-	MDNEJI_00071	1148.0	0.0	1.002	1.0	0.992	UniRef:UniRef50_Q9HZ07
contig_111	cds	49321	50976	-	MDNEJI_00072	852.0	7.7e-308	0.987	0.827	0.829	UniRef:UniRef50_P32705
contig_111	cds	50973	51284	-	MDNEJI_00073	117.0	1.3e-33	1.0	0.981	0.592	UniRef:UniRef50_K2K1S2
contig_111	cds	51502	52359	-	MDNEJI_00074	361.0	8.5e-124	0.993	0.868	0.650	UniRef:UniRef50_Q88M34
contig_111	cds	52652	52873	+	MDNEJI_00075	-	-	-	-	-	-
contig_111	cds	53016	54377	+	MDNEJI_00076	688.0	9.8e-248	0.954	0.889	0.778	UniRef:UniRef50_A0A0C5DTW9
contig_111	cds	54381	55184	+	MDNEJI_00077	331.0	9.6e-113	0.993	0.875	0.630	UniRef:UniRef50_Q9HZ01
contig_111	cds	55324	55587	+	MDNEJI_00078	-	-	-	-	-	-
contig_111	cds	55618	57195	+	MDNEJI_00079	959.0	0.0	0.994	0.994	0.937	UniRef:UniRef50_A0AAQ3R3A8
contig_111	cds	58090	58440	+	MDNEJI_00080	216.0	1.5e-72	1.0	1.0	1.0	UniRef:UniRef50_A0A0H2ZDI7
contig_111	cds	58473	59099	+	MDNEJI_00081	337.0	2.3e-117	1.029	1.0	0.874	UniRef:UniRef50_A0A0H2ZDW1
contig_111	cds	59400	59636	-	MDNEJI_00082	-	-	-	-	-	-
contig_111	cds	60028	60219	+	MDNEJI_00083	-	-	-	-	-	-
contig_111	cds	60232	60570	+	MDNEJI_00084	162.0	2.6e-51	0.991	0.974	0.793	UniRef:UniRef50_UPI00071BF10E
contig_111	cds	60598	60798	+	MDNEJI_00085	-	-	-	-	-	-
contig_111	cds	60798	60983	+	MDNEJI_00086	-	-	-	-	-	-
contig_111	cds	60985	61320	+	MDNEJI_00087	209.0	1.4e-69	1.0	0.860	1.0	UniRef:UniRef50_A0A0H2ZDJ1
contig_111	cds	61390	61776	+	MDNEJI_00088	251.0	4.7e-86	1.0	0.921	1.0	UniRef:UniRef50_A0A0H2ZDW6
contig_111	cds	62029	62535	+	MDNEJI_00089	310.0	4.4e-108	1.0	1.0	0.976	UniRef:UniRef50_A0A0H2ZDU2
contig_111	cds	63070	63870	+	MDNEJI_00090	508.0	3.4e-183	1.0	1.0	1.0	UniRef:UniRef50_A0A0H2ZCI3
contig_111	cds	64840	65508	+	MDNEJI_00091	437.0	1.3e-156	1.0	1.0	1.0	UniRef:UniRef50_A0A0H2ZDJ5
contig_111	cds	65524	67848	+	MDNEJI_00092	1313.0	0.0	1.004	1.0	0.961	UniRef:UniRef50_A0A0H2ZDX2
contig_111	cds	68471	69430	+	MDNEJI_00093	622.0	1.5e-226	1.0	1.0	0.994	UniRef:UniRef50_A0A0H2ZDR6
contig_111	cds	69587	70312	+	MDNEJI_00094	471.0	2.4e-169	1.0	0.988	0.988	UniRef:UniRef50_A0A0H2ZDU7
contig_111	cds	70910	71332	+	MDNEJI_00095	289.0	1.6e-100	1.0	0.897	0.993	UniRef:UniRef50_UPI001E3E3781
contig_111	cds	72630	72836	+	MDNEJI_00096	-	-	-	-	-	-
contig_111	cds	72808	73908	+	MDNEJI_00097	630.0	4.0e-228	0.995	0.989	0.898	UniRef:UniRef50_A0A0H2ZCI8
contig_111	cds	74243	74938	+	MDNEJI_00098	434.0	2.2e-154	1.0	0.808	1.0	UniRef:UniRef50_A0A1X1A4B2
contig_111	cds	76551	76835	+	MDNEJI_00099	-	-	-	-	-	-
contig_111	cds	77059	77691	+	MDNEJI_00100	-	-	-	-	-	-
contig_111	cds	77755	78924	-	MDNEJI_00101	535.0	5.5e-189	1.003	0.903	0.721	UniRef:UniRef50_A0A024HKP3
contig_111	cds	78992	79930	-	MDNEJI_00102	530.0	1.4e-189	1.0	0.864	0.827	UniRef:UniRef50_A0A0B3BUF9
contig_111	cds	80090	80881	+	MDNEJI_00103	346.0	2.2e-118	1.202	1.0	0.699	UniRef:UniRef50_Q88M41
contig_111	cds	80943	81758	+	MDNEJI_00104	377.0	5.5e-131	0.993	0.903	0.706	UniRef:UniRef50_C4K837
contig_111	cds	81755	82009	+	MDNEJI_00105	127.0	4.9e-38	0.976	0.863	0.756	UniRef:UniRef50_Q8EE12
contig_111	cds	82113	82748	+	MDNEJI_00106	225.0	5.0e-73	0.976	0.912	0.510	UniRef:UniRef50_A0A5C6D269
contig_111	cds	82917	84206	+	MDNEJI_00107	724.0	2.2e-262	1.0	0.876	0.816	UniRef:UniRef50_C3K0D7
contig_111	cds	84249	84800	-	MDNEJI_00108	368.0	2.8e-130	1.0	0.893	0.995	UniRef:UniRef50_Q9HYZ2
contig_111	cds	84866	85582	-	MDNEJI_00109	343.0	5.2e-118	0.992	0.819	0.720	UniRef:UniRef50_A0A3M3DZG6
contig_111	cds	85945	87003	+	MDNEJI_00110	509.0	1.5e-180	1.009	0.989	0.738	UniRef:UniRef50_F3GDT6
contig_111	cds	87058	87867	+	MDNEJI_00111	274.0	3.2e-90	0.993	0.905	0.521	UniRef:UniRef50_A0A0E4HA53
contig_111	cds	87864	88703	+	MDNEJI_00112	334.0	1.8e-113	0.968	0.839	0.600	UniRef:UniRef50_A0A0W8JG47
contig_111	cds	88690	89487	+	MDNEJI_00113	302.0	7.7e-102	0.955	0.930	0.569	UniRef:UniRef50_A0A1I0FZ56
contig_111	cds	89490	90485	+	MDNEJI_00114	369.0	5.5e-125	1.060	0.875	0.558	UniRef:UniRef50_A0A085JKE4
contig_111	cds	90485	91135	+	MDNEJI_00115	249.0	2.8e-82	1.0	0.935	0.593	UniRef:UniRef50_A0A085G6Z7
contig_111	cds	91202	92164	-	MDNEJI_00116	476.0	3.4e-168	1.0	0.922	0.734	UniRef:UniRef50_A0A379KDY4
contig_111	cds	92261	94390	+	MDNEJI_00117	1051.0	0.0	0.999	0.851	0.749	UniRef:UniRef50_Q9HYY3
contig_111	cds	94486	96234	+	MDNEJI_00118	862.0	0.0	0.997	0.988	0.759	UniRef:UniRef50_N2JRT7
contig_111	cds	96248	96727	-	MDNEJI_00119	217.0	1.7e-71	0.956	0.894	0.691	UniRef:UniRef50_M4X2W8
contig_111	cds	96717	97076	-	MDNEJI_00120	187.0	5.7e-61	0.975	0.866	0.802	UniRef:UniRef50_A0A3D4NMR2
contig_111	cds	97085	97396	-	MDNEJI_00121	182.0	2.7e-59	0.990	0.919	0.980	UniRef:UniRef50_A0A2R4KQR0
contig_111	cds	97500	98246	+	MDNEJI_00122	501.0	7.3e-181	1.0	0.954	0.996	UniRef:UniRef50_Q9HYX9
contig_111	cds	98234	98665	-	MDNEJI_00123	251.0	2.4e-85	0.944	0.849	0.985	UniRef:UniRef50_A0A078LNS3
contig_111	cds	99035	99796	-	MDNEJI_00124	243.0	6.0e-79	0.901	0.901	0.561	UniRef:UniRef50_A0A369YZQ3
contig_111	tRNA	100053	100129	-	MDNEJI_00125	90.7	-	-	-	-	-
contig_111	tRNA	100146	100221	-	MDNEJI_00126	84.4	-	-	-	-	-
contig_111	cds	100386	101306	+	MDNEJI_00127	548.0	1.6e-197	1.0	0.933	0.928	UniRef:UniRef50_Q88M72
contig_111	cds	101393	102328	+	MDNEJI_00128	399.0	7.2e-138	0.987	0.825	0.717	UniRef:UniRef50_O34524
contig_111	cds	102468	102782	+	MDNEJI_00129	125.0	4.2e-37	0.990	0.981	0.670	UniRef:UniRef50_Q7MZY0
contig_111	cds	102997	103206	+	MDNEJI_00130	95.9	3.7e-26	1.130	0.987	0.615	UniRef:UniRef50_A0A099D496
contig_111	cds	103267	105141	-	MDNEJI_00131	935.0	0.0	0.997	0.885	0.749	UniRef:UniRef50_Q9HYX4
contig_111	ncRNA	104368	104492	-	MDNEJI_00132	61.8	5.6e-09	-	-	-	RFAM:RF02835
contig_111	cds	105316	107481	-	MDNEJI_00133	1129.0	0.0	1.014	0.873	0.747	UniRef:UniRef50_Q1LB10
contig_111	cds	107578	108432	-	MDNEJI_00134	356.0	4.0e-122	0.947	0.876	0.643	UniRef:UniRef50_A0A0C5ET26
contig_111	cds	108499	109068	-	MDNEJI_00135	276.0	1.3e-93	0.989	0.827	0.738	UniRef:UniRef50_Q9HYX1
contig_111	cds	109352	112831	+	MDNEJI_00136	1759.0	0.0	1.003	0.956	0.780	UniRef:UniRef50_Q9HYX0
contig_111	cds	112839	117185	-	MDNEJI_00137	2256.0	0.0	0.802	1.0	0.994	UniRef:UniRef50_A0A5E5R9H6
contig_111	cds	117254	117637	-	MDNEJI_00138	135.0	2.8e-40	0.984	0.926	0.600	UniRef:UniRef50_A0A2R4KS67
contig_111	cds	117804	118091	+	MDNEJI_00139	174.0	2.4e-56	1.0	0.841	1.0	UniRef:UniRef50_Q9HYW7
contig_111	cds	118170	118499	-	MDNEJI_00140	106.0	2.8e-29	0.972	0.914	0.500	UniRef:UniRef50_Q11PU6
contig_111	cds	118496	118918	-	MDNEJI_00141	296.0	3.6e-103	1.0	0.915	1.0	UniRef:UniRef50_F6A915
contig_111	cds	119151	119963	-	MDNEJI_00142	-	-	-	-	-	-
contig_111	cds	120088	120387	-	MDNEJI_00143	187.0	1.4e-61	0.990	0.845	1.0	UniRef:UniRef50_Q9HYW3
contig_111	cds	120556	121878	-	MDNEJI_00144	658.0	1.5e-236	0.948	0.914	0.743	UniRef:UniRef50_P05695
contig_111	cds	122337	123653	-	MDNEJI_00145	586.0	5.2e-208	0.959	0.921	0.688	UniRef:UniRef50_P05695
contig_111	cds	123900	124490	-	MDNEJI_00146	241.0	2.2e-79	0.990	0.829	0.619	UniRef:UniRef50_A0A5S9MQN2
contig_111	cds	124493	125227	-	MDNEJI_00147	258.0	3.5e-85	0.984	0.956	0.554	UniRef:UniRef50_A0A0H2ZDY6
contig_111	cds	125224	126078	-	MDNEJI_00148	554.0	4.6e-200	0.975	0.850	0.989	UniRef:UniRef50_Q9HYW0
contig_111	cds	126097	126411	-	MDNEJI_00149	-	-	-	-	-	-
contig_111	ncRNA	126765	127046	-	MDNEJI_00150	332.9	6.6e-40	-	-	-	RFAM:RF01670
contig_111	cds	126817	127056	-	MDNEJI_00151	149.0	7.1e-47	0.975	0.846	0.974	UniRef:UniRef50_S6AYL6
contig_111	cds	127050	127661	-	MDNEJI_00152	209.0	8.9e-67	0.970	0.828	0.609	UniRef:UniRef50_A0A0C5E0Q3
contig_111	cds	127664	128785	-	MDNEJI_00153	520.0	7.1e-184	0.933	0.857	0.747	UniRef:UniRef50_A0A1C2D9K4
contig_111	cds	129276	129791	+	MDNEJI_00154	-	-	-	-	-	-
contig_111	cds	129795	130265	-	MDNEJI_00155	222.0	3.2e-73	0.981	0.801	0.680	UniRef:UniRef50_Q88JT5
contig_111	cds	130378	130791	+	MDNEJI_00156	153.0	1.2e-46	1.015	0.818	0.583	UniRef:UniRef50_Q9HYV4
contig_111	cds	130830	132965	-	MDNEJI_00157	1354.0	0.0	1.003	1.0	0.975	UniRef:UniRef50_A0A1L7G6M3
contig_111	cds	135088	135903	-	MDNEJI_00158	551.0	4.2e-200	1.0	1.0	0.982	UniRef:UniRef50_Q9HYV0
contig_111	cds	135913	137979	-	MDNEJI_00159	1112.0	0.0	0.985	0.993	0.925	UniRef:UniRef50_A0A9X2C7M4
contig_111	cds	138208	138645	-	MDNEJI_00160	215.0	5.2e-71	0.986	0.911	0.734	UniRef:UniRef50_D4Z6B6
contig_111	cds	138850	140280	+	MDNEJI_00161	509.0	5.6e-176	1.038	0.922	0.569	UniRef:UniRef50_A0A5P1UTU4
contig_111	cds	140353	144333	-	MDNEJI_00162	2062.0	0.0	1.164	1.0	0.719	UniRef:UniRef50_A0A5A9W373
contig_111	cds	144508	144717	-	MDNEJI_00163	84.0	1.5e-21	1.0	1.0	0.725	UniRef:UniRef50_A6V2C4
contig_111	cds	144837	146525	-	MDNEJI_00164	670.0	4.7e-237	0.998	0.940	0.592	UniRef:UniRef50_A0A8T9FU99
contig_111	cds	146760	148448	-	MDNEJI_00165	905.0	0.0	1.0	0.941	0.778	UniRef:UniRef50_A0A8T9FU99
contig_111	cds	148695	149645	+	MDNEJI_00166	422.0	5.3e-147	0.972	0.890	0.687	UniRef:UniRef50_Q9HYU2
contig_111	cds	149642	150112	+	MDNEJI_00167	192.0	1.3e-61	1.0	0.902	0.628	UniRef:UniRef50_A0A2Z5AGN8
contig_111	cds	150263	151438	+	MDNEJI_00168	689.0	3.4e-250	1.043	1.0	0.944	UniRef:UniRef50_A0A3M5DH72
contig_111	cds	151419	152276	-	MDNEJI_00169	355.0	1.1e-121	1.0	0.880	0.677	UniRef:UniRef50_U3AU64
contig_111	cds	152304	152507	-	MDNEJI_00170	86.3	1.7e-22	0.940	0.926	0.619	UniRef:UniRef50_N2JCC6
contig_111	ncRNA	152349	152483	-	MDNEJI_00171	127.4	3.1e-18	-	-	-	RFAM:RF01671
contig_111	cds	152494	154488	-	MDNEJI_00172	615.0	1.8e-212	0.994	0.965	0.532	UniRef:UniRef50_Q9HYT9
contig_111	ncRNA	154635	154847	-	MDNEJI_00173	204.0	4.7e-27	-	-	-	RFAM:RF01673
contig_111	cds	154696	154809	-	MDNEJI_00174	59.3	1.2e-12	0.973	0.837	0.694	UniRef:UniRef50_A0A0C5DXZ5
contig_111	cds	155058	155219	-	MDNEJI_00175	62.0	2.7e-13	0.868	0.836	0.739	UniRef:UniRef50_A0A6S5CUX8
contig_111	cds	155216	155818	-	MDNEJI_00176	299.0	2.6e-102	1.0	0.905	0.705	UniRef:UniRef50_A0A1G5NXM8
contig_111	cds	155872	156180	-	MDNEJI_00177	159.0	2.6e-50	1.088	1.0	0.829	UniRef:UniRef50_A0A2U2XXU4
contig_111	cds	156422	159268	+	MDNEJI_00178	1860.0	0.0	0.999	0.914	0.998	UniRef:UniRef50_Q9HYT6
contig_111	cds	159551	160006	+	MDNEJI_00179	283.0	8.1e-98	1.0	1.0	1.0	UniRef:UniRef50_Q9HYT5
contig_111	cds	160075	161730	-	MDNEJI_00180	640.0	2.5e-225	0.969	0.902	0.597	UniRef:UniRef50_Q9HYT4
contig_111	cds	162062	164242	+	MDNEJI_00181	1401.0	0.0	1.0	0.922	0.997	UniRef:UniRef50_Q9HYT3
contig_111	cds	164246	165136	-	MDNEJI_00182	437.0	3.1e-154	0.983	0.964	0.797	UniRef:UniRef50_U7PAX2
contig_111	cds	165285	166142	+	MDNEJI_00183	328.0	2.2e-111	1.0	1.007	0.600	UniRef:UniRef50_A0A0P8X4H7
contig_111	cds	166139	166942	+	MDNEJI_00184	330.0	2.2e-112	0.996	0.930	0.677	UniRef:UniRef50_K1JG05
contig_111	cds	166936	167769	+	MDNEJI_00185	310.0	3.5e-104	0.960	0.839	0.658	UniRef:UniRef50_F4GVJ9
contig_111	cds	167766	168536	+	MDNEJI_00186	248.0	1.7e-80	0.941	0.861	0.602	UniRef:UniRef50_A0A8E2U4Q4
contig_111	cds	168660	169388	+	MDNEJI_00187	-	-	-	-	-	-
contig_111	cds	169454	169954	+	MDNEJI_00188	215.0	1.6e-70	0.849	0.801	0.716	UniRef:UniRef50_Q9HYS6
contig_111	cds	170012	172090	-	MDNEJI_00189	674.0	1.5e-234	1.055	0.989	0.515	UniRef:UniRef50_A0A411LEE0
contig_111	cds	172321	172776	-	MDNEJI_00190	286.0	3.9e-99	1.0	0.915	0.987	UniRef:UniRef50_Q9HYS5
contig_111	cds	172865	173779	+	MDNEJI_00191	337.0	3.0e-114	0.977	0.946	0.609	UniRef:UniRef50_A0A2C9WYV9
contig_111	cds	173787	174599	-	MDNEJI_00192	-	-	-	-	-	-
contig_111	cds	174911	175786	+	MDNEJI_00193	364.0	4.2e-125	0.952	0.885	0.628	UniRef:UniRef50_A0A1Y1SBS9
