Product	Sequence_Count	Sequence Ids	Locus Tag Count	Locus Tags
(2Fe-2S)-binding protein	1	contig_1	1	OIFKLK_04119
(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	1	contig_1	1	OIFKLK_01596
(pseudo) tRNA-Gly(ccc)	1	contig_1	1	OIFKLK_04843
(pseudo) tRNA-Xxx	1	contig_1	1	OIFKLK_02498
(R)-3-hydroxydecanoyl-ACP:CoA transacylase	1	contig_1	1	OIFKLK_04712
(R)-benzylsuccinyl-CoA dehydrogenase	1	contig_1	1	OIFKLK_03093
(R)-specific enoyl-CoA hydratase	1	contig_1	1	OIFKLK_00910
(R)-stereoselective amidase	1	contig_1	1	OIFKLK_01403
(S)-2-haloacid dehalogenase	1	contig_1	1	OIFKLK_04628
(S)-ureidoglycine aminohydrolase cupin domain-containing protein	1	contig_1	4	OIFKLK_02262;OIFKLK_02928;OIFKLK_03399;OIFKLK_06156
1,2-epoxyphenylacetyl-CoA isomerase	1	contig_1	1	OIFKLK_05798
1,2-glucosyltransferase WapB	1	contig_1	1	OIFKLK_04386
1,3-propanediol dehydrogenase	1	contig_1	1	OIFKLK_06025
1,3-propanediol dehydrogenase DhaT	1	contig_1	1	OIFKLK_04241
1,4-alpha-glucan branching enzyme GlgB	1	contig_1	1	OIFKLK_03161
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	1	contig_1	1	OIFKLK_02735
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	1	contig_1	1	OIFKLK_05965
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino) methylideneamino] imidazole-4-carboxamide isomerase	1	contig_1	1	OIFKLK_05877
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	1	contig_1	1	OIFKLK_05964
1-acyl-sn-glycerol-3-phosphate acyltransferase	1	contig_1	1	OIFKLK_00009
1-aminocyclopropane-1-carboxylate deaminase	1	contig_1	1	OIFKLK_01913
1-deoxy-11-beta-hydroxypentalenate dehydrogenase	1	contig_1	1	OIFKLK_00968
1-deoxy-D-xylulose 5-phosphate reductoisomerase	1	contig_1	1	OIFKLK_01350
1-deoxy-D-xylulose-5-phosphate synthase	1	contig_1	1	OIFKLK_00881
1-phosphofructokinase	1	contig_1	1	OIFKLK_01443
10-9 kDa protein	1	contig_1	1	OIFKLK_05465
16 kDa heat shock protein B	1	contig_1	1	OIFKLK_01874
16S ribosomal RNA	1	contig_1	4	OIFKLK_00678;OIFKLK_04912;OIFKLK_05492;OIFKLK_06216
1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] chlorinase	1	contig_1	1	OIFKLK_02513
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	1	contig_1	1	OIFKLK_01271
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1	contig_1	1	OIFKLK_05954
2,3-dehydroadipyl-CoA hydratase	1	contig_1	2	OIFKLK_02171;OIFKLK_04963
2,4-dienoyl-CoA reductase, NADH and FMN-linked	1	contig_1	1	OIFKLK_01911
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	1	contig_1	2	OIFKLK_00608;OIFKLK_05535
2-aminobenzoylacetyl-CoA thioesterase PqsE	1	contig_1	1	OIFKLK_04401
2-aminoethylphosphonate--pyruvate transaminase	1	contig_1	1	OIFKLK_03933
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	1	contig_1	1	OIFKLK_01373
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	1	contig_1	1	OIFKLK_01367
2-chlorobenzoate 1,2-dioxygenase, alpha subunit	1	contig_1	1	OIFKLK_02732
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	1	contig_1	1	OIFKLK_03092
2-dehydro-3-deoxy-phosphogluconate aldolase	1	contig_1	2	OIFKLK_01822;OIFKLK_01869
2-dehydro-3-deoxygluconokinase	1	contig_1	1	OIFKLK_02986
2-dehydro-3-deoxyphosphooctonate aldolase	1	contig_1	1	OIFKLK_01364
2-dehydropantoate 2-reductase	1	contig_1	2	OIFKLK_03578;OIFKLK_05032
2-deoxy-D-gluconate 3-dehydrogenase	1	contig_1	1	OIFKLK_00827
2-heptyl-3-hydroxy-4(1H)-quinolone synthase	1	contig_1	1	OIFKLK_02534
2-heptyl-4(1H)-quinolone synthase subunit PqsB	1	contig_1	1	OIFKLK_04404
2-heptyl-4(1H)-quinolone synthase subunit PqsC	1	contig_1	1	OIFKLK_04403
2-hydoxy-3-oxopropionate reductase GlxR	1	contig_1	1	OIFKLK_03971
2-hydroxy-3-oxopropionate reductase	1	contig_1	2	OIFKLK_01677;OIFKLK_03118
2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2, 4-dienoic acid hydrolase	1	contig_1	1	OIFKLK_01555
2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	1	contig_1	1	OIFKLK_04571
