#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_22	44	316	+	MDNEJI_00002	8.9	6.7	PF00294.29|PfkB	PFAM:PF00294.29
contig_24	112	336	+	MDNEJI_00003	8.4	4.9		
contig_26	14	265	-	MDNEJI_00004	9.5	5.4		
contig_33	80	601	-	MDNEJI_00005	19.7	6.7		
contig_55	91	573	+	MDNEJI_00007	18.3	8.3	PF00196.25|GerE	PFAM:PF00196.25
contig_56	1	327	+	MDNEJI_00008	11.9	6.4		
contig_60	41	328	-	MDNEJI_00009	10.8	6.4	PF00990.26|GGDEF	PFAM:PF00990.26
contig_62	25	309	+	MDNEJI_00010	10.1	8.1	PF00106.31|adh_short, PF13561.12|adh_short_C2	PFAM:PF00106.31, PFAM:PF13561.12
contig_82	55	288	+	MDNEJI_00012	8.4	5.8		
contig_84	15	257	-	MDNEJI_00013	9.0	4.8	PF22594.2|GTP-eEF1A_C	PFAM:PF22594.2
contig_85	3	275	-	MDNEJI_00014	8.8	12.0		
contig_89	97	318	-	MDNEJI_00015	8.1	4.7		
contig_110	30	530	+	MDNEJI_00017	18.4	5.0		
contig_111	12311	13309	-	MDNEJI_00029	37.0	4.3		
contig_111	17176	17541	+	MDNEJI_00035	13.5	9.5		
contig_111	18358	18798	+	MDNEJI_00037	16.7	9.9		
contig_111	20294	20770	+	MDNEJI_00039	17.7	10.5		
contig_111	36945	37472	+	MDNEJI_00058	18.9	6.5		
contig_111	52652	52873	+	MDNEJI_00075	8.1	9.4		
contig_111	55324	55587	+	MDNEJI_00078	9.8	5.5		
contig_111	58090	58440	+	MDNEJI_00080	13.0	10.4		SO:0001217, UniRef:UniRef50_A0A0H2ZDI7
contig_111	58473	59099	+	MDNEJI_00081	23.2	5.4		SO:0001217, UniRef:UniRef50_A0A0H2ZDW1
contig_111	59400	59636	-	MDNEJI_00082	8.5	5.1		
contig_111	60028	60219	+	MDNEJI_00083	7.2	4.1		
contig_111	60232	60570	+	MDNEJI_00084	12.4	6.1		SO:0001217, UniRef:UniRef50_UPI00071BF10E
contig_111	60598	60798	+	MDNEJI_00085	7.2	6.0		
contig_111	60798	60983	+	MDNEJI_00086	7.2	9.3		
contig_111	60985	61320	+	MDNEJI_00087	12.5	5.7		SO:0001217, UniRef:UniRef50_A0A0H2ZDJ1
contig_111	61390	61776	+	MDNEJI_00088	14.0	6.1		SO:0001217, UniRef:UniRef50_A0A0H2ZDW6
contig_111	62029	62535	+	MDNEJI_00089	18.9	4.6		SO:0001217, UniRef:UniRef50_A0A0H2ZDU2
contig_111	64840	65508	+	MDNEJI_00091	25.3	5.0		SO:0001217, UniRef:UniRef50_A0A0H2ZDJ5
contig_111	72630	72836	+	MDNEJI_00096	7.6	9.8		
contig_111	72808	73908	+	MDNEJI_00097	40.4	9.4		SO:0001217, UniRef:UniRef50_A0A0H2ZCI8
contig_111	76551	76835	+	MDNEJI_00099	10.0	7.7		
contig_111	77059	77691	+	MDNEJI_00100	23.2	5.4	PF05726.19|Pirin_C	PFAM:PF05726.19
contig_111	119151	119963	-	MDNEJI_00142	29.3	6.1	PF00106.31|adh_short, PF13561.12|adh_short_C2	PFAM:PF00106.31, PFAM:PF13561.12
contig_111	126097	126411	-	MDNEJI_00149	10.2	9.0		
contig_111	129276	129791	+	MDNEJI_00154	18.2	5.4	PF00023.36|Ank, PF12796.13|Ank_2, PF13606.12|Ank_3, PF13637.12|Ank_4, PF13857.12|Ank_5	PFAM:PF00023.36, PFAM:PF12796.13, PFAM:PF13606.12, PFAM:PF13637.12, PFAM:PF13857.12
contig_111	168660	169388	+	MDNEJI_00187	25.9	6.8		
contig_111	173787	174599	-	MDNEJI_00192	30.1	5.4		
contig_111	193030	193269	+	MDNEJI_00204	8.9	4.3	PF00550.31|PP-binding	PFAM:PF00550.31
contig_111	222361	222708	+	MDNEJI_00231	11.8	4.1		
contig_121	76	270	-	MDNEJI_00238	7.1	4.7		
contig_128	123	311	+	MDNEJI_00239	7.2	9.0		
