Product_normalized	OriginalProducts	Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	DbXrefs
	ECF family RNA polymerase sigma factor SbrI;Ecotin	contig_1	cds	2209763;2347648	2210398;2348118	+;-	OIFKLK_02114;OIFKLK_02269	sbrI	BlastRules:WP_003119848;SO:0001217, UniRef:UniRef50_Q9I088
1-5-phosphoribosyl-5-5-phosphoribosylamino methylideneamino imidazole-4-carboxamide isomerase	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino) methylideneamino] imidazole-4-carboxamide isomerase	contig_1	cds	6248150	6248521	+	OIFKLK_05877		SO:0001217, UniRef:UniRef50_A0A4Y4EXQ2
1-5-phosphoribosyl-5-5-phosphoribosylaminomethylideneamino imidazole-4-carboxamide isomerase	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	contig_1	cds	6342102	6342839	-	OIFKLK_05964		SO:0001217, UniRef:UniRef50_Q31E65
1-5-phosphoribosyl-5-5-phosphoribosylaminomethylideneaminoimidazole-4-carboxamide isomerase	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	contig_1	cds	6342888	6343148	-	OIFKLK_05965		SO:0001217, UniRef:UniRef50_A0A653UIZ3
1-acyl-sn-glycerol-3-phosphate acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase	contig_1	cds	13308	14081	-	OIFKLK_00009		SO:0001217, UniRef:UniRef50_Q9I7C1
1-aminocyclopropane-1-carboxylate deaminase	1-aminocyclopropane-1-carboxylate deaminase	contig_1	cds	1992175	1993107	+	OIFKLK_01913		SO:0001217, UniRef:UniRef50_A0A379IEM9
1-deoxy-11-beta-hydroxypentalenate dehydrogenase	1-deoxy-11-beta-hydroxypentalenate dehydrogenase	contig_1	cds	1001448	1002284	+	OIFKLK_00968		SO:0001217, UniRef:UniRef50_A0A5P9CEC0
1-deoxy-d-xylulose 5-phosphate reductoisomerase	1-deoxy-D-xylulose 5-phosphate reductoisomerase	contig_1	cds	1393763	1394953	+	OIFKLK_01350		SO:0001217, UniRef:UniRef50_Q9KGU6
1-deoxy-d-xylulose-5-phosphate synthase	1-deoxy-D-xylulose-5-phosphate synthase	contig_1	cds	911719	913602	-	OIFKLK_00881		SO:0001217, UniRef:UniRef50_U1ZJL1
1-phosphofructokinase	1-phosphofructokinase	contig_1	cds	1495196	1496140	+	OIFKLK_01443		SO:0001217, UniRef:UniRef50_A0AAQ0E8X5
10-9 kda protein	10-9 kDa protein	contig_1	cds	5790625	5790915	-	OIFKLK_05465		SO:0001217, UniRef:UniRef50_P25134
12-epoxyphenylacetyl-coa isomerase	1,2-epoxyphenylacetyl-CoA isomerase	contig_1	cds	6143866	6144657	-	OIFKLK_05798		SO:0001217, UniRef:UniRef50_A0A072ZJK0
12-glucosyltransferase wapb	1,2-glucosyltransferase WapB	contig_1	cds	4669729	4670628	-	OIFKLK_04386	wapB	BlastRules:WP_003140646, SO:0001217, UniRef:UniRef50_Q9I4V9
13-propanediol dehydrogenase	1,3-propanediol dehydrogenase	contig_1	cds	6404822	6405985	-	OIFKLK_06025		SO:0001217, UniRef:UniRef50_A0A853SXA2
13-propanediol dehydrogenase dhat	1,3-propanediol dehydrogenase DhaT	contig_1	cds	4525763	4526944	+	OIFKLK_04241	dhaT	SO:0001217, UniRef:UniRef50_A0A021X8S6
14-alpha-glucan branching enzyme glgb	1,4-alpha-glucan branching enzyme GlgB	contig_1	cds	3359050	3361248	-	OIFKLK_03161	glgB	SO:0001217, UniRef:UniRef50_Q9I1W2
16 kda heat shock protein b	16 kDa heat shock protein B	contig_1	cds	1951994	1952443	+	OIFKLK_01874		SO:0001217, UniRef:UniRef50_P96193
16-dihydroxycyclohexa-24-diene-1-carboxylate dehydrogenase	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	contig_1	cds	2826050	2826811	+	OIFKLK_02735		SO:0001217, UniRef:UniRef50_P07772
