# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_6	tRNA	157	246	+	MDNEJI_00001	trnS	tRNA-Ser(cga)	SO:0000269
contig_22	cds	44	316	+	MDNEJI_00002		hypothetical protein	PFAM:PF00294.29
contig_24	cds	112	336	+	MDNEJI_00003		hypothetical protein	
contig_26	cds	14	265	-	MDNEJI_00004		hypothetical protein	
contig_33	cds	80	601	-	MDNEJI_00005		hypothetical protein	
contig_41	ncRNA	21	128	-	MDNEJI_00006	ES222	ES222 sRNA	RFAM:RF02755, SO:0000655
contig_55	cds	91	573	+	MDNEJI_00007		hypothetical protein	PFAM:PF00196.25
contig_56	cds	1	327	+	MDNEJI_00008		hypothetical protein	
contig_60	cds	41	328	-	MDNEJI_00009		hypothetical protein	PFAM:PF00990.26
contig_62	cds	25	309	+	MDNEJI_00010		hypothetical protein	PFAM:PF00106.31, PFAM:PF13561.12
contig_77	cds	18	638	-	MDNEJI_00011		Decarboxylase	SO:0001217, UniRef:UniRef50_A0A379T7F3
contig_82	cds	55	288	+	MDNEJI_00012		hypothetical protein	
contig_84	cds	15	257	-	MDNEJI_00013		hypothetical protein	PFAM:PF22594.2
contig_85	cds	3	275	-	MDNEJI_00014		hypothetical protein	
contig_89	cds	97	318	-	MDNEJI_00015		hypothetical protein	
contig_99	cds	60	359	+	MDNEJI_00016		HTH iclR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C5EL99
contig_110	cds	30	530	+	MDNEJI_00017		hypothetical protein	
contig_111	cds	279	1439	-	MDNEJI_00018	sugC	Trehalose import ATP-binding protein SugC	SO:0001217, UniRef:UniRef50_A0A1Q9QVI2
contig_111	cds	1472	2317	-	MDNEJI_00019		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0AAJ5T3R6
contig_111	cds	2310	3242	-	MDNEJI_00020		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0AAJ5T3H9
contig_111	cds	3343	4605	-	MDNEJI_00021		putative sugar-binding periplasmic protein	SO:0001217, UniRef:UniRef50_A0A0G3BGA5
contig_111	cds	5130	6578	-	MDNEJI_00022	gtrS	two-component system sensor histidine kinase GtrS	BlastRules:WP_003114839, SO:0001217, UniRef:UniRef50_Q9HZ47
contig_111	cds	6575	7303	-	MDNEJI_00023	gltR	two-component system response regulator GltR	BlastRules:WP_003091475, BlastRules:WP_010952194, SO:0001217, UniRef:UniRef50_A0A6G6ITX2
contig_111	cds	7338	8333	-	MDNEJI_00024		Glucokinase	SO:0001217, UniRef:UniRef50_Q9HZ46
contig_111	cds	8436	10262	-	MDNEJI_00025		Phosphogluconate dehydratase	SO:0001217, UniRef:UniRef50_P31961
contig_111	cds	10392	11396	+	MDNEJI_00026		Glyceraldehyde-3-phosphate dehydrogenase	SO:0001217, UniRef:UniRef50_P27726
contig_111	cds	11403	11615	-	MDNEJI_00027		Fe-S protein	SO:0001217, UniRef:UniRef50_A0A024HEV2
contig_111	cds	11700	12230	-	MDNEJI_00028		DUF2170 domain-containing protein	SO:0001217, UniRef:UniRef50_A4XQ31
contig_111	cds	12311	13309	-	MDNEJI_00029		hypothetical protein	
contig_111	cds	13455	14345	-	MDNEJI_00030		Segregation and condensation protein A	SO:0001217, UniRef:UniRef50_Q1N5L9
