# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	1	1539	+	OIFKLK_00001	638.0	1.3e-225	1.094	0.993	0.638	UniRef:UniRef50_A0A1E2VCN0
contig_1	cds	1568	2671	+	OIFKLK_00002	617.0	4.0e-222	1.0	0.897	0.872	UniRef:UniRef50_P0A120
contig_1	cds	2681	3790	+	OIFKLK_00003	406.0	2.6e-139	1.008	0.942	0.559	UniRef:UniRef50_P13456
contig_1	cds	3787	6207	+	OIFKLK_00004	1071.0	0.0	1.014	1.001	0.670	UniRef:UniRef50_A0A0S2JCA5
contig_1	cds	6417	7256	-	OIFKLK_00005	528.0	3.4e-190	1.004	0.933	0.950	UniRef:UniRef50_A0A4Q0YPU9
contig_1	cds	7289	7552	-	OIFKLK_00006	113.0	1.5e-32	0.943	0.911	0.671	UniRef:UniRef50_Q8NL42
contig_1	cds	7663	10500	-	OIFKLK_00007	943.0	0.0	0.997	0.999	0.527	UniRef:UniRef50_A4YAV4
contig_1	cds	10518	12734	-	OIFKLK_00008	683.0	7.0e-236	1.023	0.914	0.551	UniRef:UniRef50_Q88BI7
contig_1	cds	13308	14081	-	OIFKLK_00009	363.0	7.2e-126	0.918	0.843	0.725	UniRef:UniRef50_Q9I7C1
contig_1	cds	14093	14629	-	OIFKLK_00010	212.0	1.6e-68	0.972	0.836	0.572	UniRef:UniRef50_A0A1G0D4K9
contig_1	cds	14961	16667	+	OIFKLK_00011	587.0	1.7e-203	1.016	0.907	0.536	UniRef:UniRef50_W9GTM3
contig_1	cds	16724	18781	-	OIFKLK_00012	1017.0	0.0	0.993	0.887	0.782	UniRef:UniRef50_Q9I7B8
contig_1	cds	18778	19725	-	OIFKLK_00013	503.0	3.9e-180	0.854	0.993	0.903	UniRef:UniRef50_A0A9C9KU72
contig_1	cds	19830	20381	+	OIFKLK_00014	261.0	6.6e-88	0.995	0.839	0.676	UniRef:UniRef50_Q21NB0
contig_1	cds	20525	21412	+	OIFKLK_00015	-	-	-	-	-	-
contig_1	cds	21497	21763	+	OIFKLK_00016	140.0	3.9e-43	0.989	0.906	0.782	UniRef:UniRef50_Q9I7B4
contig_1	cds	21910	22563	+	OIFKLK_00017	241.0	4.7e-79	0.899	0.837	0.641	UniRef:UniRef50_A0A078BM00
contig_1	cds	22629	22901	-	OIFKLK_00018	168.0	2.5e-54	1.0	0.891	0.989	UniRef:UniRef50_Q9I7B2
contig_1	cds	23194	23511	-	OIFKLK_00019	103.0	4.2e-28	0.990	0.881	0.538	UniRef:UniRef50_Q9I7B1
contig_1	cds	23660	25033	-	OIFKLK_00020	568.0	1.7e-199	0.998	0.852	0.623	UniRef:UniRef50_Q8EKR1
contig_1	cds	25060	26364	-	OIFKLK_00021	667.0	7.3e-239	1.007	0.826	0.764	UniRef:UniRef50_Q88RR3
contig_1	cds	26361	27305	-	OIFKLK_00022	569.0	1.8e-204	1.239	1.0	0.799	UniRef:UniRef50_O85732
contig_1	cds	27360	27866	-	OIFKLK_00023	221.0	1.5e-72	0.988	0.822	0.669	UniRef:UniRef50_A0A2H6JDN9
contig_1	cds	28005	29030	+	OIFKLK_00024	530.0	5.2e-189	1.0	0.909	0.751	UniRef:UniRef50_Q9I7A7
contig_1	cds	29165	30253	+	OIFKLK_00025	607.0	3.8e-219	1.0	1.0	0.890	UniRef:UniRef50_A0A2R3IYL8
contig_1	cds	30294	30851	+	OIFKLK_00026	337.0	4.0e-118	0.870	0.805	0.994	UniRef:UniRef50_A0A2Z3I8K8
contig_1	cds	30861	31838	-	OIFKLK_00027	449.0	2.4e-157	1.0	0.869	0.698	UniRef:UniRef50_Q7VWH1
contig_1	cds	32029	32946	+	OIFKLK_00028	441.0	6.8e-155	0.970	0.876	0.689	UniRef:UniRef50_A0KEX7
contig_1	cds	33004	33828	+	OIFKLK_00029	370.0	2.3e-127	0.993	0.817	0.695	UniRef:UniRef50_P43904
contig_1	cds	33939	34925	+	OIFKLK_00030	546.0	7.8e-196	0.994	0.926	0.801	UniRef:UniRef50_Q9I7A4
contig_1	cds	34906	36192	+	OIFKLK_00031	810.0	8.5e-297	1.0	0.962	0.984	UniRef:UniRef50_A6UX89
contig_1	cds	36408	36791	+	OIFKLK_00032	-	-	-	-	-	-
contig_1	cds	36795	38348	-	OIFKLK_00033	564.0	1.1e-196	0.994	0.941	0.628	UniRef:UniRef50_A0A7U7EKM4
contig_1	cds	38353	39276	-	OIFKLK_00034	370.0	1.1e-126	0.993	0.864	0.564	UniRef:UniRef50_Q9I7A0
contig_1	cds	39293	40804	-	OIFKLK_00035	832.0	3.8e-305	0.811	1.007	0.985	UniRef:UniRef50_A0A3M5EBN9
contig_1	cds	40932	41831	+	OIFKLK_00036	380.0	3.7e-131	0.990	0.937	0.649	UniRef:UniRef50_A0A0C5ECR6
contig_1	cds	41842	42219	+	OIFKLK_00037	134.0	1.3e-39	0.840	0.802	0.543	UniRef:UniRef50_A0A9E1QG85
contig_1	cds	42198	42563	-	OIFKLK_00038	231.0	3.6e-78	0.992	0.976	1.0	UniRef:UniRef50_Q9I797
contig_1	cds	42571	43194	-	OIFKLK_00039	234.0	3.9e-76	1.005	0.842	0.582	UniRef:UniRef50_P0A4H2
contig_1	cds	43380	44186	-	OIFKLK_00040	395.0	1.2e-137	1.0	0.805	0.746	UniRef:UniRef50_P07344
contig_1	cds	44183	45391	-	OIFKLK_00041	525.0	1.8e-184	0.983	0.849	0.658	UniRef:UniRef50_A2BUE1
contig_1	cds	45495	46382	+	OIFKLK_00042	306.0	5.8e-102	1.007	0.887	0.559	UniRef:UniRef50_A0A0P7Z7F8
contig_1	cds	46483	46698	+	OIFKLK_00043	111.0	1.8e-32	0.958	0.958	0.750	UniRef:UniRef50_Q487U3
contig_1	cds	46888	47109	+	OIFKLK_00044	78.6	2.8e-19	1.014	0.987	0.527	UniRef:UniRef50_A0A1G5MI52
contig_1	cds	47407	49095	+	OIFKLK_00045	900.0	0.0	0.808	0.968	0.989	UniRef:UniRef50_A0A8S0GXB3
contig_1	cds	49208	59773	+	OIFKLK_00046	4918.0	0.0	1.0	1.0	0.979	UniRef:UniRef50_UPI00053EA1C6
contig_1	cds	60318	60659	+	OIFKLK_00047	-	-	-	-	-	-
contig_1	cds	62058	62225	+	OIFKLK_00048	-	-	-	-	-	-
contig_1	cds	62435	62830	+	OIFKLK_00049	263.0	1.7e-90	1.0	0.910	1.0	UniRef:UniRef50_A0A6S7CBD0
contig_1	cds	63095	64348	-	OIFKLK_00050	748.0	3.7e-272	1.0	0.882	1.0	UniRef:UniRef50_I4CVN3
contig_1	cds	64345	64476	-	OIFKLK_00051	-	-	-	-	-	-
contig_1	cds	64668	66041	+	OIFKLK_00052	490.0	9.2e-170	1.057	1.017	0.586	UniRef:UniRef50_G3XDA1
contig_1	cds	66537	67223	+	OIFKLK_00053	260.0	1.8e-86	0.904	0.888	0.626	UniRef:UniRef50_U3U1C3
contig_1	cds	67254	67607	+	OIFKLK_00054	159.0	8.5e-50	1.034	0.858	0.678	UniRef:UniRef50_Q9I786
contig_1	cds	67604	68269	+	OIFKLK_00055	245.0	1.5e-80	0.941	0.904	0.635	UniRef:UniRef50_B1T988
contig_1	cds	68284	68667	-	OIFKLK_00056	229.0	2.4e-77	1.024	1.0	0.962	UniRef:UniRef50_A0A3M5E9P5
contig_1	cds	68949	70610	-	OIFKLK_00057	1106.0	0.0	0.996	0.858	0.993	UniRef:UniRef50_Q9I783
