Product_normalized	OriginalProducts	Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	DbXrefs
	ECF family RNA polymerase sigma factor SbrI;Ecotin;Putative ECF RNA polymerase sigma factor SigI	contig_1019;contig_963	cds	13952;316281;542864	15196;316916;543334	+;-	MDNEJI_03017;MDNEJI_03731;MDNEJI_03983	sbrI;sigI	BlastRules:WP_003119848;SO:0001217, UniRef:UniRef50_A0A518IYH0;SO:0001217, UniRef:UniRef50_Q9I088
(2fe-2s)-binding protein	(2Fe-2S)-binding protein	contig_919	cds	3654	3890	+	MDNEJI_02520		SO:0001217, UniRef:UniRef50_A0A9Q6N9C0
(3' truncated) 5s ribosomal rna	(3' truncated) 5S ribosomal RNA	contig_913	rRNA	424	536	+	MDNEJI_02514	rrf	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
(3' truncated) putative aminoglycoside riboswitch / atti site	(3' truncated) putative aminoglycoside riboswitch / attI site	contig_1440	ncRNA-region	1	49	-			RFAM:RF02912, SO:0000035
(4s)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	contig_1241	cds	15981	16283	-	MDNEJI_04746		SO:0001217, UniRef:UniRef50_A0AA35IFX6
(5' truncated) 5s ribosomal rna	(5' truncated) 5S ribosomal RNA	contig_1796;contig_996	rRNA	238024;69714	238129;69819	-	MDNEJI_03332;MDNEJI_06785	rrf	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
(5' truncated) cobalamin riboswitch aptamer	(5' truncated) Cobalamin riboswitch aptamer	contig_283	ncRNA-region	248	320	-			RFAM:RF00174, SO:0000035
(5' truncated) enterobacterial srna stnc70	(5' truncated) Enterobacterial sRNA STnc70	contig_1654	ncRNA	278	356	-	MDNEJI_06338	STnc70	RFAM:RF02069, SO:0000655
(pseudo) trna-gly(ccc)	(pseudo) tRNA-Gly(ccc)	contig_1796	tRNA	180329	180422	+	MDNEJI_06736	trnG	SO:0000260
(r)-3-hydroxyd	(R)-3-hydroxydecanoyl-ACP:CoA transacylase	contig_1796	cds	141094	141996	+	MDNEJI_06683	phaG	BlastRules:WP_003114157, EC:2.4.1.-, SO:0001217, UniRef:UniRef50_A0A5M9IXQ2
(r)-benzylsuccinyl-coa dehydrogenase	(R)-benzylsuccinyl-CoA dehydrogenase	contig_333	cds	199221	200393	+	MDNEJI_00643		SO:0001217, UniRef:UniRef50_A0A0P0MAS3
(r)-sp	(R)-specific enoyl-CoA hydratase	contig_1130	cds	213223	213678	-	MDNEJI_04357		SO:0001217, UniRef:UniRef50_A0A2H4CAL3
(r)-stereosel	(R)-stereoselective amidase	contig_1241	cds	237550	238365	-	MDNEJI_04941		SO:0001217, UniRef:UniRef50_Q75SP7
(s)-2-haloacid dehalogenase	(S)-2-haloacid dehalogenase	contig_1796	cds	51088	51789	+	MDNEJI_06598		SO:0001217, UniRef:UniRef50_A0A0U4WMJ1
(s)-ureidoglycine aminohydrolase cupin domain-containing protein	(S)-ureidoglycine aminohydrolase cupin domain-containing protein	contig_1019;contig_1685;contig_885;contig_896	cds	139139;212940;53736;537721	139486;213305;538065;54098	+;-	MDNEJI_01558;MDNEJI_01784;MDNEJI_03976;MDNEJI_06483		SO:0001217, UniRef:UniRef50_A0A1H4VCM0;SO:0001217, UniRef:UniRef50_A0A1Q9QWK4;SO:0001217, UniRef:UniRef50_Q9I081;SO:0001217, UniRef:UniRef50_Q9I1F7
1,2-epoxyphenylacetyl-coa isomerase	1,2-epoxyphenylacetyl-CoA isomerase	contig_908	cds	322732	323523	-	MDNEJI_02250		SO:0001217, UniRef:UniRef50_A0A072ZJK0
1,2-glucosyltransferase wapb	1,2-glucosyltransferase WapB	contig_1352	cds	152668	153567	-	MDNEJI_05331	wapB	BlastRules:WP_003140646, SO:0001217, UniRef:UniRef50_Q9I4V9
1,3-propanediol dehydrogenase	1,3-propanediol dehydrogenase	contig_908	cds	598095	599258	-	MDNEJI_02506		SO:0001217, UniRef:UniRef50_A0A853SXA2
1,3-propanediol dehydrogenase dhat	1,3-propanediol dehydrogenase DhaT	contig_1352	cds	8727	9908	+	MDNEJI_05184	dhaT	SO:0001217, UniRef:UniRef50_A0A021X8S6
1,4-alpha-glucan branching enzyme glgb	1,4-alpha-glucan branching enzyme GlgB	contig_333	cds	128658	130856	+	MDNEJI_00576	glgB	SO:0001217, UniRef:UniRef50_Q9I1W2
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	contig_1574	cds	270283	271044	+	MDNEJI_06271		SO:0001217, UniRef:UniRef50_P07772
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	contig_908	cds	520407	520667	-	MDNEJI_02417		SO:0001217, UniRef:UniRef50_A0A653UIZ3
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino) methylideneamino] imidazole-4-carboxamide isomerase	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino) methylideneamino] imidazole-4-carboxamide isomerase	contig_908	cds	424699	425070	+	MDNEJI_02328		SO:0001217, UniRef:UniRef50_A0A4Y4EXQ2
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	contig_908	cds	519621	520358	-	MDNEJI_02416		SO:0001217, UniRef:UniRef50_Q31E65
1-acyl-sn-glycerol-3-phosphate acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase	contig_1007	cds	22947	23720	+	MDNEJI_03360		SO:0001217, UniRef:UniRef50_Q9I7C1
1-aminocyclopropane-1-carboxylate deaminase	1-aminocyclopropane-1-carboxylate deaminase	contig_1019	cds	97658	98557	+	MDNEJI_03532		SO:0001217, UniRef:UniRef50_A0A379IEM9
1-deoxy-11-beta-hydroxypentalenate dehydrogenase	1-deoxy-11-beta-hydroxypentalenate dehydrogenase	contig_1130	cds	278739	279575	+	MDNEJI_04422		SO:0001217, UniRef:UniRef50_A0A5P9CEC0
1-deoxy-d-xylulose 5-phosphate reductoisomerase	1-deoxy-D-xylulose 5-phosphate reductoisomerase	contig_1241	cds	292604	293794	-	MDNEJI_04994		SO:0001217, UniRef:UniRef50_Q9KGU6
1-deoxy-d-xylulose-5-phosphate synthase	1-deoxy-D-xylulose-5-phosphate synthase	contig_1130	cds	179728	181611	-	MDNEJI_04328		SO:0001217, UniRef:UniRef50_U1ZJL1
16 kda heat shock protein b	16 kDa heat shock protein B	contig_1019	cds	57447	57896	+	MDNEJI_03493		SO:0001217, UniRef:UniRef50_P96193
16s ribosomal rna	16S ribosomal RNA	contig_1163;contig_1651;contig_1773	rRNA	1;3642	5177;610;759	+;-	MDNEJI_04685;MDNEJI_06336;MDNEJI_06525	rrs	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate n-succinyltransferase	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	contig_1241	cds	355428	356462	+	MDNEJI_05056		SO:0001217, UniRef:UniRef50_Q6AA30
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	contig_908	cds	508355	509902	+	MDNEJI_02406		SO:0001217, UniRef:UniRef50_Q83BH2
