# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1539	+	OIFKLK_00001	dnaA	Chromosomal replication initiator protein DnaA	SO:0001217, UniRef:UniRef50_A0A1E2VCN0
contig_1	cds	1568	2671	+	OIFKLK_00002		Beta sliding clamp	SO:0001217, UniRef:UniRef50_P0A120
contig_1	cds	2681	3790	+	OIFKLK_00003	recF	DNA replication and repair protein RecF	SO:0001217, UniRef:UniRef50_P13456
contig_1	cds	3787	6207	+	OIFKLK_00004		DNA gyrase subunit B	SO:0001217, UniRef:UniRef50_A0A0S2JCA5
contig_1	cds	6417	7256	-	OIFKLK_00005		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4Q0YPU9
contig_1	cds	7289	7552	-	OIFKLK_00006	tnp	IS3 family ISPa32 transposase ORF A	IS:ISPa32, SO:0001217, UniRef:UniRef50_Q8NL42
contig_1	cds	7663	10500	-	OIFKLK_00007		Helicase domain protein	SO:0001217, UniRef:UniRef50_A4YAV4
contig_1	cds	10518	12734	-	OIFKLK_00008		Tetratricopeptide repeat protein	SO:0001217, UniRef:UniRef50_Q88BI7
contig_1	cds	13308	14081	-	OIFKLK_00009		1-acyl-sn-glycerol-3-phosphate acyltransferase	SO:0001217, UniRef:UniRef50_Q9I7C1
contig_1	cds	14093	14629	-	OIFKLK_00010		D,D-heptose 1,7-bisphosphate phosphatase	SO:0001217, UniRef:UniRef50_A0A1G0D4K9
contig_1	cds	14961	16667	+	OIFKLK_00011		Cytochrome c domain-containing protein	SO:0001217, UniRef:UniRef50_W9GTM3
contig_1	cds	16724	18781	-	OIFKLK_00012		Glycine--tRNA ligase beta subunit	SO:0001217, UniRef:UniRef50_Q9I7B8
contig_1	cds	18778	19725	-	OIFKLK_00013		Glycine--tRNA ligase alpha subunit	SO:0001217, UniRef:UniRef50_A0A9C9KU72
contig_1	cds	19830	20381	+	OIFKLK_00014		DNA-3-methyladenine glycosylase I	SO:0001217, UniRef:UniRef50_Q21NB0
contig_1	cds	20525	21412	+	OIFKLK_00015		hypothetical protein	
contig_1	cds	21497	21763	+	OIFKLK_00016	pilZ	PilZ domain-containing protein	SO:0001217, UniRef:UniRef50_Q9I7B4
contig_1	cds	21910	22563	+	OIFKLK_00017		putative queuosine precursor transporter	SO:0001217, UniRef:UniRef50_A0A078BM00
contig_1	cds	22629	22901	-	OIFKLK_00018		hypothetical protein	SO:0001217, UniRef:UniRef50_Q9I7B2
contig_1	cds	23194	23511	-	OIFKLK_00019		TPR repeat-containing protein PA0015	SO:0001217, UniRef:UniRef50_Q9I7B1
contig_1	cds	23660	25033	-	OIFKLK_00020	trkA	Trk system potassium uptake protein TrkA	SO:0001217, UniRef:UniRef50_Q8EKR1
contig_1	cds	25060	26364	-	OIFKLK_00021		Ribosomal RNA small subunit methyltransferase B	SO:0001217, UniRef:UniRef50_Q88RR3
contig_1	cds	26361	27305	-	OIFKLK_00022		Methionyl-tRNA formyltransferase	SO:0001217, UniRef:UniRef50_O85732
contig_1	cds	27360	27866	-	OIFKLK_00023		Peptide deformylase	SO:0001217, UniRef:UniRef50_A0A2H6JDN9
