# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1539	+	OIFKLK_00005	dnaA	Chromosomal replication initiator protein DnaA	SO:0001217, UniRef:UniRef50_Q8XBZ3
contig_1	cds	1568	2671	+	OIFKLK_00010		Beta sliding clamp	SO:0001217, UniRef:UniRef50_P0A120
contig_1	cds	2681	3790	+	OIFKLK_00015	recF	DNA replication and repair protein RecF	SO:0001217, UniRef:UniRef50_P13456
contig_1	cds	3787	6207	+	OIFKLK_00020		DNA gyrase subunit B	SO:0001217, UniRef:UniRef50_A0A0S2JCA5
contig_1	cds	6417	7256	-	OIFKLK_00025		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H3YZS0
contig_1	cds	7289	7552	-	OIFKLK_00030	tnp	IS3 family ISPa32 transposase ORF A	IS:ISPa32, SO:0001217, UniRef:UniRef50_A6EVZ0
contig_1	cds	7663	10500	-	OIFKLK_00035	rapA	RNA polymerase-associated protein RapA	SO:0001217, UniRef:UniRef50_A0A5E7I1K4
contig_1	cds	10518	12734	-	OIFKLK_00040		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI000A5E124C
contig_1	cds	13308	14081	-	OIFKLK_00045	plsC	PlsC domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Q9R9S5
contig_1	cds	14093	14629	-	OIFKLK_00050		D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	SO:0001217, UniRef:UniRef50_Q88RS0
contig_1	cds	14961	16667	+	OIFKLK_00055		Cytochrome c domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6L3SNV3
contig_1	cds	16724	18781	-	OIFKLK_00060		Glycine--tRNA ligase beta subunit	SO:0001217, UniRef:UniRef50_Q6F7L8
contig_1	cds	18778	19725	-	OIFKLK_00065		Glycine--tRNA ligase alpha subunit	SO:0001217, UniRef:UniRef50_Q8EPY1
